Feature,Gain,Cover,Frequency
origin_up_lxidpiddsbxsbosboudacockeimpuepw,0.11766150606002015,0.022513179886167804,0.007348242811501597
forecast_price_energy_p2,0.057832871977070564,0.04106527551480367,0.0364781056192445
forecast_meter_rent_12m,0.05726759258116198,0.09252647584650465,0.10407818079308401
consumption_decline,0.05484103214014969,0.08579427469896302,0.09054688968239052
pow_max,0.052851271565877156,0.056877980402196354,0.06451794775418154
origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,0.046761157734530795,0.014283444033720023,0.0069911670738582975
days_mod,0.046206998823657766,0.07205843974339782,0.0808118774666416
channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,0.041379234174135957,0.019941038290773077,0.007536177410261229
margin_gross_pow_ele,0.04082125870898217,0.05959707116174148,0.07190377748543507
consumption_decline_pct,0.040212499218430064,0.06378026861351715,0.07017477917684646
tenure_normalized,0.03934506083476754,0.03811658655247258,0.056192445029129866
forecast_cons,0.03808934530135223,0.028110838203373806,0.01625634279270814
price_p3_fix_mean,0.034872891703623114,0.022746302428283943,0.018868633715467018
has_gas_flag,0.03401101356247837,0.020928848348200534,0.005863559481300507
margin_net_pow_ele,0.033885673149205466,0.052158686063721614,0.04380755497087014
