threshold,net,roi
0.1,33971500,261.84291660243565
0.15000000000000002,34971839.99999999,488.8322318762789
0.2,32808100,655.8471933471933
0.25,29394200,780.76391840204
0.30000000000000004,25674260,849.5109587590662
0.35,21367520,888.654511578387
0.4,17871179.999999996,900.6198597000482
0.45000000000000007,14858539.999999998,907.6910859153552
0.5,12269620,909.6153846153846
0.55,10055979.999999998,909.6153846153845
0.6,8126140,909.6153846153846
0.65,6716599.999999999,909.6153846153845
0.7000000000000001,4928660,909.6153846153846
0.75,3698860,909.6153846153846
0.8,2033900,909.6153846153846
0.85,1210880,909.6153846153846
0.9,312179.99999999994,909.6153846153845
